rank,name,school,division,flight,wins,losses,TGRS,TGRS_scaled,ts_rating,ts_mu,local_ts_mu,ts_sigma,reachability,local_reachability,sos,local_sos,quality_wins,won_after_set1_loss,vs_weaker_opp,vs_mid_opp,vs_top_opp,last_match_date,reason_below
43,Zeke Sandholm,Byron Center,overall,3,13,4,402.06,66.7,7.39,25.08,25.08,5.9,170,170,29.08,29.08,7,3/7 (43%),4-0 (100%),2-1 (67%),5-3 (62%),2026-09-22,Lost head-to-head vs player above
44,Trey Meeuwsen,Zeeland West,overall,3,5,2,427.45,70.1,13.86,29.28,29.28,5.14,167,167,33.19,33.19,5,1/3 (33%),,3-0 (100%),2-2 (50%),2026-09-21,Worse score margin vs common opponents
45,Jackson Hurley,Muskegon Mona Shores,overall,3,14,1,431.21,70.6,15.18,35.92,35.92,6.91,168,168,23.39,23.39,5,1/2 (50%),7-0 (100%),2-1 (67%),3-0 (100%),2026-09-21,Worse score margin vs common opponents
46,Owen Pierce,Maple City Glen Lake,overall,3,12,12,447.57,72.8,18.3,34.79,34.79,5.5,166,166,30.02,30.02,6,1/11 (9%),4-0 (100%),3-4 (43%),4-7 (36%),2026-09-18,Lost head-to-head vs player above
47,Ethan Vergara,Mattawan,overall,3,7,8,412.36,68.1,13.62,31.94,31.94,6.1,163,163,27.38,27.38,3,2/9 (22%),3-0 (100%),3-2 (60%),1-6 (14%),2026-09-22,Lost head-to-head vs player above
48,Finn Clarke,Petoskey,overall,3,9,8,427.38,70.1,16.59,31.12,31.12,4.84,163,163,27.79,27.79,3,0/6 (0%),3-1 (75%),5-3 (62%),1-4 (20%),2026-09-16,Lost head-to-head vs player above
49,Milo Woodruff,Traverse City Central,overall,3,13,10,407.87,67.5,11.46,27.38,27.38,5.31,162,162,32.05,32.05,7,1/8 (12%),2-0 (100%),4-2 (67%),5-6 (45%),2026-09-21,Lost head-to-head vs player above
50,Nate Yeamans,Grosse Pointe South,overall,3,6,4,435.32,71.1,18.78,34.73,34.73,5.32,161,161,29.72,29.72,3,2/6 (33%),1-0 (100%),2-1 (67%),1-3 (25%),2026-09-21,Lost head-to-head vs player above
51,Connor McGrath,Romeo,overall,3,6,1,297.65,52.7,20.16,36.56,36.56,5.47,88,88,29.57,29.57,4,,,4-0 (100%),1-1 (50%),2026-09-18,Worse score margin vs common opponents
52,Jack Devereaux,Jenison,overall,3,12,5,338.73,58.2,5.37,24.58,24.58,6.4,149,149,21.59,21.59,2,0/4 (0%),7-0 (100%),2-1 (67%),1-3 (25%),2026-09-21,Lower TrueSkill rating
53,King Nelson,Detroit U-D Jesuit,overall,3,2,10,375.54,63.1,9.34,27.44,27.44,6.03,155,155,34.66,34.66,1,0/9 (0%),1-1 (50%),0-1 (0%),1-7 (12%),2026-09-22,Worse score margin vs common opponents
54,Jackson Cortese,Grand Rapids Forest Hills Central,overall,3,6,11,319.13,55.6,4.76,22.55,22.55,5.93,138,138,32.62,32.62,2,0/9 (0%),2-1 (67%),1-2 (33%),1-8 (11%),2026-09-21,Lost head-to-head vs player above
55,Josh Poulson,Portage Central,overall,3,13,7,390.69,65.2,16.78,33.32,33.32,5.52,142,142,27.47,27.47,6,1/8 (12%),6-1 (86%),5-1 (83%),2-5 (29%),2026-09-16,Lost head-to-head vs player above
56,Brady Stinnett,Dexter,overall,3,8,5,372.28,62.7,15.11,32.31,32.31,5.73,139,139,28.37,28.37,3,0/5 (0%),2-1 (67%),3-1 (75%),1-2 (33%),2026-09-22,Worse score margin vs common opponents
57,Jacob Nichols,Richland Gull Lake,overall,3,7,5,347.89,59.4,11.06,26.56,26.56,5.17,138,138,27.1,27.1,2,0/4 (0%),4-0 (100%),1-1 (50%),1-4 (20%),2026-09-16,Lost head-to-head vs player above
58,Andy McGivney,Grand Rapids Catholic Central,overall,3,8,4,318.25,55.4,11.48,28.82,28.82,5.78,122,122,24.6,24.6,3,0/4 (0%),4-1 (80%),1-2 (33%),2-1 (67%),2026-09-14,Worse score margin vs common opponents
59,Brogan Oxley,Battle Creek Lakeview,overall,3,14,8,326.22,56.5,7.63,25.09,25.09,5.82,137,137,24.98,24.98,1,1/9 (11%),7-1 (88%),3-3 (50%),0-4 (0%),2026-09-16,Lower TrueSkill rating
60,Patrick Elmquest,Traverse City West,overall,3,15,10,312.8,54.7,7.32,23.17,23.17,5.29,128,128,28.31,28.31,4,0/9 (0%),5-0 (100%),7-3 (70%),1-7 (12%),2026-09-19,Lost head-to-head vs player above
61,Oliver Jacques,Sparta,overall,3,13,5,346.13,59.2,17.38,36.19,36.19,6.27,120,120,26.3,26.3,4,0/4 (0%),9-0 (100%),3-0 (100%),1-5 (17%),2026-09-18,Worse score margin vs common opponents
62,Maksym Zimmerman,Grand Rapids West Catholic,overall,3,7,5,338.42,58.1,16.77,33.76,33.76,5.66,119,119,27.06,27.06,2,2/7 (29%),5-1 (83%),1-1 (50%),1-3 (25%),2026-09-16,Lost head-to-head vs player above
63,Jacob Payne,Lansing Catholic,overall,3,15,4,289.34,51.6,12.9,31.31,31.31,6.14,101,101,27.52,27.52,6,0/4 (0%),6-0 (100%),4-0 (100%),2-3 (40%),2026-09-18,Worse score margin vs common opponents
64,Ryland Ritsema,Grandville Calvin Christian,overall,3,11,6,335.57,57.8,16.96,32.3,32.3,5.11,117,117,27.4,27.4,2,0/6 (0%),8-0 (100%),1-0 (100%),1-6 (14%),2026-09-21,Fewer wins vs common opponents
65,Brayden Bowman,Kalamazoo Christian,overall,3,13,3,297.99,52.7,11.96,28.58,28.58,5.54,112,112,22.24,22.24,2,0/3 (0%),8-0 (100%),1-0 (100%),1-3 (25%),2026-09-21,Lost head-to-head vs player above
66,Zach Devos,Grand Rapids Christian,overall,3,9,7,234.46,44.2,0.65,17.93,17.93,5.76,106,106,29.35,29.35,3,0/7 (0%),4-0 (100%),2-2 (50%),1-5 (17%),2026-09-21,Worse score margin vs common opponents
67,Gus Johnson,Hamilton,overall,3,10,7,275.84,49.7,10.61,30.58,30.58,6.66,104,104,23.48,23.48,2,1/8 (12%),7-1 (88%),2-1 (67%),0-5 (0%),2026-09-21,Lost head-to-head vs player above
68,Andrew Colasanti,Zeeland East,overall,3,9,10,248.57,46.1,5.73,21.28,21.28,5.18,101,101,26.74,26.74,3,1/10 (10%),4-1 (80%),1-3 (25%),2-6 (25%),2026-09-17,Lost head-to-head vs player above
69,Blake Bellingar,Williamston,overall,3,7,1,285.73,51.1,14.74,35.89,35.89,7.05,99,99,24.83,24.83,1,0/1 (0%),4-0 (100%),1-0 (100%),1-1 (50%),2026-09-16,Worse score margin vs common opponents
70,Prajus Prabhu,Grand Ledge,overall,3,7,2,280.15,50.3,18.2,35.14,35.14,5.65,88,88,20.1,20.1,2,1/3 (33%),5-1 (83%),2-0 (100%),,2026-09-21,Lower TrueSkill rating
71,Gage Mashburn,Allegan,overall,3,18,14,227.88,43.3,3.98,23.6,23.6,6.54,97,97,24.86,24.86,1,1/13 (8%),9-2 (82%),3-3 (50%),0-7 (0%),2026-09-21,Lower TrueSkill rating
72,Bode Rush,Jackson Northwests,overall,3,10,3,275.4,49.7,14.67,30.08,30.08,5.13,95,95,20.93,20.93,1,1/4 (25%),6-2 (75%),3-1 (75%),,2026-09-21,Worse score margin vs common opponents
73,James Spoelma,Mason,overall,3,8,8,267.74,48.7,14.34,29.59,29.59,5.08,90,90,28.99,28.99,1,0/8 (0%),4-1 (80%),2-0 (100%),0-7 (0%),2026-09-18,Worse score margin vs common opponents
74,Gavin Lemm,Saline,overall,3,6,8,254.13,46.8,12.25,28.62,28.62,5.46,87,87,34.67,34.67,1,1/9 (11%),,2-1 (67%),1-5 (17%),2026-09-18,Lower TrueSkill rating
75,Kingston Alford,Southgate Anderson,overall,3,11,6,301.28,53.2,21.02,35.9,35.9,4.96,86,86,30.25,30.25,6,1/7 (14%),4-0 (100%),3-1 (75%),3-5 (38%),2026-09-18,Lost head-to-head vs player above
76,reed mihalik,Allen Park,overall,3,10,1,277.82,50.0,18.83,39.8,39.8,6.99,83,83,23.13,23.13,4,1/1 (100%),5-0 (100%),2-0 (100%),2-1 (67%),2026-09-21,Lost head-to-head vs player above
77,Parker Haggitt,Saginaw Heritage,overall,3,8,1,274.61,49.6,19.31,39.45,39.45,6.71,81,81,22.96,22.96,3,0/1 (0%),3-0 (100%),1-0 (100%),2-0 (100%),2026-09-17,Lower TrueSkill rating
78,Eitan Katz,West Bloomfield FJA,overall,3,5,2,257.62,47.3,14.56,32.32,32.32,5.92,85,85,26.55,26.55,1,0/1 (0%),2-0 (100%),1-0 (100%),1-1 (50%),2026-09-17,Worse score margin vs common opponents
79,Sam Skinner,Trenton,overall,3,11,2,252.56,46.6,14.96,31.33,31.33,5.46,81,81,22.35,22.35,3,2/4 (50%),5-0 (100%),3-0 (100%),1-2 (33%),2026-09-22,Lower TrueSkill rating
80,Max Langschwager,Holt,overall,3,8,11,232.4,43.9,10.25,27.28,27.28,5.68,82,82,28.23,28.23,2,0/11 (0%),3-0 (100%),2-3 (40%),0-6 (0%),2026-09-22,Lower TrueSkill rating
81,Andrew Scheske,Sturgis,overall,3,5,4,232.51,43.9,11.36,27.24,27.24,5.29,79,79,32.3,32.3,1,1/5 (20%),1-0 (100%),0-1 (0%),1-2 (33%),2026-09-16,Lower TrueSkill rating
82,Anderson Farnquist,Paw Paw,overall,3,11,3,248.42,46.1,19.35,35.51,35.51,5.39,69,69,24.21,24.21,1,0/3 (0%),6-0 (100%),1-3 (25%),,2026-09-22,Lost head-to-head vs player above
83,Colin Niemi,Parma Western,overall,3,4,7,219.06,42.1,7.06,22.84,22.84,5.26,83,83,29.44,29.44,2,0/7 (0%),1-2 (33%),2-1 (67%),0-4 (0%),2026-09-21,Fewer wins vs common opponents
84,Ioan DeWinkle,Hartland,overall,3,12,2,247.38,45.9,15.09,33.51,33.51,6.14,76,76,24.74,24.74,5,0/2 (0%),5-0 (100%),4-0 (100%),1-2 (33%),2026-09-17,Worse score margin vs common opponents
85,Allan Hu,Northville,overall,3,3,11,229.01,43.5,12.04,28.16,28.16,5.37,75,75,34.56,34.56,1,0/11 (0%),2-0 (100%),1-2 (33%),0-9 (0%),2026-09-15,Lower TrueSkill rating
