match_id,gender,match_type,flight,winner_names,loser_names,winner_school,loser_school,winner_school_id,loser_school_id,winner_player_ids,loser_player_ids,set_score,match_updated_at,winner_team_id,loser_team_id,source_school_id,source_event_id
1440506,Boys,Singles,4,Braden Schultz,Default Default,Paw Paw,Bronson,3864,4501,['154575'],['114797'],2-0 2-0,2025-10-08T05:01:00,2880941.0,2880942.0,3877.0,689.0
1440507,Boys,Singles,4,Larsen Kibler,Isaiah Mingus,Berrien Springs,Battle Creek Pennfield,3877,4036,['175031'],['178727'],2-0 2-0,2025-10-08T05:01:00,2880943.0,2880944.0,3877.0,689.0
1444154,Boys,Singles,2,Jonathan Bevevino,caleb souva,South Haven,Bronson,4446,4501,['136385'],['157458'],6-0 6-0,2025-10-08T05:01:00,2888238.0,2888237.0,3877.0,689.0
1444159,Boys,Singles,2,Kenny Lambeth,Ebin Perkins,Battle Creek Pennfield,Three Rivers,4036,4182,['113653'],['135784'],6-1 6-1,2025-10-08T05:01:00,2888247.0,2888248.0,3877.0,689.0
1444167,Boys,Singles,2,Blake Magyar,Jeff Tertel,Niles Brandywine,New Buffalo / Bridgman / Lake Michigan Catholic (LMC),4375,4091,['111446'],['178878'],6-1 6-0,2025-10-08T05:01:00,2888263.0,2888264.0,3877.0,689.0
1444169,Boys,Singles,2,Ian Riggs,Marley Hinds,Kalamazoo Christian,Buchanan,4020,4433,['156964'],['114765'],6-1 6-3,2025-10-08T05:01:00,2888268.0,2888267.0,3877.0,689.0
1444171,Boys,Singles,3,Dean Resek,Bruce Beber,South Haven,Bronson,4446,4501,['113980'],['179710'],6-0 6-0,2025-10-08T05:01:00,2888272.0,2888271.0,3877.0,689.0
1444174,Boys,Singles,3,Carson Wooodhams,Kyle Herder,Allegan,Kalamazoo Christian,3983,4020,['153938'],['138028'],6-4 1-6 13-11,2025-10-08T05:01:00,2888278.0,2888277.0,3877.0,689.0
1444177,Boys,Singles,3,Carter Fuller,Brielle Rhew,Three Rivers,New Buffalo / Bridgman / Lake Michigan Catholic (LMC),4182,4091,['177370'],['136180'],6-2 6-0,2025-10-08T05:01:00,2888283.0,2888284.0,3877.0,689.0
1444178,Boys,Singles,4,Brady Stratton,Charlie Hart,Three Rivers,New Buffalo / Bridgman / Lake Michigan Catholic (LMC),4182,4091,['177383'],['178691'],6-1 6-0,2025-10-08T05:01:00,2888286.0,2888285.0,3877.0,689.0
1444645,Boys,Singles,1,Justus Rowland,Jimmy Kennedy,New Buffalo / Bridgman / Lake Michigan Catholic (LMC),Kalamazoo Hackett Catholic Prep,4091,4248,['178690'],['114465'],6-4 6-1,2025-10-08T05:01:00,2889220.0,2889219.0,3877.0,689.0
1444646,Boys,Singles,1,Hudson Badger,Clayton Shortridge,Battle Creek Pennfield,Bronson,4036,4501,['134441'],['179707'],6-2 6-0,2025-10-08T05:01:00,2889222.0,2889221.0,3877.0,689.0
1444647,Boys,Singles,1,Alex Nowak,Max Verseput,Three Rivers,South Haven,4182,4446,['97110'],['113976'],6-2 4-6 10-6,2025-10-08T05:01:00,2889223.0,2889224.0,3877.0,689.0
1444648,Boys,Singles,1,Luke De Jong,Dean Wegner,Kalamazoo Christian,Buchanan,4020,4433,['134091'],['114764'],6-2 4-6 10-5,2025-10-08T05:01:00,2889226.0,2889225.0,3877.0,689.0
1444649,Boys,Singles,2,Ezra Smith,Jonathan Bevevino,Allegan,South Haven,3983,4446,['133753'],['136385'],7-6 2-6 6-2,2025-10-08T05:01:00,2889227.0,2889228.0,3877.0,689.0
